nohup: ignoring input
[192/1080] dpsi=32.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0021 (21/10000)
[193/1080] dpsi=34.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[194/1080] dpsi=34.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.0899 (899/10000)
[195/1080] dpsi=34.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0 (0/10000)
[196/1080] dpsi=34.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0028 (28/10000)
[197/1080] dpsi=34.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3122 (3122/10000)
[198/1080] dpsi=34.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0026 (26/10000)
[199/1080] dpsi=34.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[200/1080] dpsi=34.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0735 (735/10000)
[201/1080] dpsi=34.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[202/1080] dpsi=34.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0037 (37/10000)
[203/1080] dpsi=34.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.23 (2300/10000)
[204/1080] dpsi=34.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0024 (24/10000)
[205/1080] dpsi=36.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0.0001 (1/10000)
[206/1080] dpsi=36.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.0842 (842/10000)
[207/1080] dpsi=36.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[208/1080] dpsi=36.0, pos_ci95=3.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0033 (33/10000)
[209/1080] dpsi=36.0, pos_ci95=3.0, vel_ci95=3.0, recovery=ftr: p_los=0.3005 (3005/10000)
[210/1080] dpsi=36.0, pos_ci95=3.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.002 (20/10000)
[211/1080] dpsi=36.0, pos_ci95=10.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[212/1080] dpsi=36.0, pos_ci95=10.0, vel_ci95=1.0, recovery=ftr: p_los=0.0662 (662/10000)
[213/1080] dpsi=36.0, pos_ci95=10.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0001 (1/10000)
[214/1080] dpsi=36.0, pos_ci95=10.0, vel_ci95=3.0, recovery=pastcpa: p_los=0.0026 (26/10000)
[215/1080] dpsi=36.0, pos_ci95=10.0, vel_ci95=3.0, recovery=ftr: p_los=0.2299 (2299/10000)
[216/1080] dpsi=36.0, pos_ci95=10.0, vel_ci95=3.0, recovery=probabilistic_ftr: p_los=0.0028 (28/10000)
[217/1080] dpsi=38.0, pos_ci95=3.0, vel_ci95=1.0, recovery=pastcpa: p_los=0 (0/10000)
[218/1080] dpsi=38.0, pos_ci95=3.0, vel_ci95=1.0, recovery=ftr: p_los=0.0792 (792/10000)
[219/1080] dpsi=38.0, pos_ci95=3.0, vel_ci95=1.0, recovery=probabilistic_ftr: p_los=0.0002 (2/10000)
